TeamName,"First Name","Last Name",Position,Year,Overall,HomeTown,Speed,Strength,Agility,Acceleration,Jumping,Awareness,Stamina,Injury,"Break Tackle",Trucking,Elusiveness,"Stif Farm","Spin Move","Juke Move",Carrying,"Ball Carrier Vision","Pass Block","Run Block",Catching,"Spectacular Catch","Catch In Traffic","Route Running",Release,Tackle,"Hit Power",Pursuit,"Play Recognition","Power Moves","Finesse Moves","Block Shedding","Man Coverage","Zone Coverage",press,"Throw Power","Throw Accuracy","kick Power","kick Accuracy"
"Air Force",Andrew,Weber,K,Senior,88,"Buford, GA",58,52,51,64,40,69,76,79,63,31,64,14,55,33,40,34,40,40,15,14,15,15,40,19,20,25,14,40,30,25,36,39,15,15,19,19,18,51,47,83,94
"Air Force",Clint,Ryan,P,"Senior (R)",87,"Hiawatha, KS",41,40,40,40,40,78,90,87,43,43,46,42,40,49,40,46,11,20,12,11,11,11,40,23,20,26,22,40,25,35,37,32,32,41,35,35,20,56,54,94,81
"Air Force",Drew,Davis,HB,"Senior (R)",85,"Sweet Home, OR",93,64,84,94,79,62,99,84,85,88,72,74,84,81,79,77,49,51,49,44,50,53,65,59,62,63,69,44,49,15,28,15,15,22,35,35,32,40,40,40,40
"Air Force",Tavares,Cook,MLB,Sophomore,84,"Cadillac, MI",83,78,79,90,66,49,89,91,40,28,24,18,21,33,48,28,43,56,44,43,56,56,64,50,58,28,56,84,87,79,79,78,72,89,78,71,72,40,40,40,40
"Air Force",Brian,Little,FS,Senior,83,"Mesquite, TX",88,64,88,90,82,79,82,83,70,45,65,42,75,85,52,66,40,40,44,42,40,44,65,43,60,62,60,71,64,93,74,54,54,79,80,86,89,40,40,40,40
"Air Force",Jeremy,Wilson,LOLB,Sophomore,83,"Orchard Mesa, CO",85,74,77,98,75,47,90,90,40,44,42,38,71,74,40,47,40,40,39,39,39,40,60,16,56,53,52,77,83,88,81,77,72,90,73,79,75,40,40,40,40
"Air Force",Josh,Fry,HB,Sophomore,81,"Fort Lupton, CO",89,56,85,87,76,64,89,82,80,72,86,70,87,83,73,84,43,41,45,45,41,40,79,67,64,76,77,40,37,18,19,34,15,23,35,14,48,40,40,40,40
"Air Force",Tony,Calhoun,LG,"Senior (R)",80,"Roeland Park, KS",62,81,64,94,41,61,75,83,36,36,40,29,43,45,40,39,89,81,87,85,79,80,40,17,39,36,27,41,52,34,42,37,33,37,38,38,28,40,40,40,40
"Air Force",Jeff,Wilcox,LT,Sophomore,79,"Buena Vista, MI",61,86,62,91,54,68,66,90,42,42,43,39,56,58,40,54,82,83,83,83,83,83,40,20,39,34,25,40,48,36,36,30,30,35,30,31,28,40,40,40,40
"Air Force",Alex,Jackson,WR,"Senior (R)",77,"Rowland Heights, CA",83,57,81,93,81,64,89,86,70,54,72,40,74,85,62,62,44,50,44,38,46,49,79,73,80,78,69,46,36,36,30,29,27,31,37,38,46,40,40,40,40
"Air Force",Travis,Hampton,LE,Senior,77,"Abilene, TX",74,75,69,84,62,63,77,85,52,42,52,47,55,58,41,38,42,45,34,34,32,38,44,39,46,38,43,78,78,82,74,72,77,78,46,49,41,38,38,37,38
"Air Force",Mark,Roth,RT,"Senior (R)",77,"Humble, TX",60,88,61,86,44,67,62,84,39,39,38,37,38,42,40,37,81,81,88,75,75,87,40,15,37,34,16,40,48,38,37,36,34,36,35,35,24,40,40,40,40
"Air Force",Cole,Smith,CB,"Sophomore (R)",75,"Key Largo, FL",92,45,86,90,81,65,84,88,24,28,29,27,40,40,51,51,43,44,43,43,44,44,64,55,57,62,63,59,77,85,75,55,55,47,80,83,82,28,35,31,43
"Air Force",Jonathan,Woods,RE,"Sophomore (R)",75,"Lauderhill, FL",75,74,71,88,69,52,78,85,19,22,26,18,31,22,48,26,20,28,20,20,28,28,55,32,55,23,53,71,84,81,76,79,79,71,56,55,44,30,20,23,17
"Air Force",Ron,Vincent,HB,Freshman,74,"Trinidad, CO",85,53,80,85,76,58,82,81,78,65,82,63,84,82,68,79,41,40,41,41,39,39,67,63,60,71,72,41,35,17,23,33,23,19,37,15,45,40,40,40,40
"Air Force",Paul,Welsh,CB,Senior,74,"Camp Verde, AZ",92,59,87,90,86,57,96,92,59,53,58,59,79,75,47,67,40,47,17,45,40,41,51,54,61,62,63,69,44,70,66,47,50,68,79,83,79,40,40,40,40
"Air Force",Joel,Griffin,RG,Sophomore,73,"San Manuel, AZ",63,75,66,80,41,65,64,82,40,15,33,15,42,20,40,39,84,78,84,83,76,77,40,20,37,31,26,40,71,32,41,85,27,79,20,20,23,40,40,40,40
